,uni_name,global,error_rate,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9,label_10,label_11,label_12,label_13,label_14,label_15,label_16,label_17,label_18,label_19,label_20,label_21,label_22,label_23,label_24,label_25,label_26,label_27,label_28,label_29,label_30,label_31,label_32,label_33,label_34,label_35,label_36,label_37,label_38,label_39,label_40,label_41,label_42,label_43,label_44,label_45,label_46,label_47,label_48,label_49,label_50,label_51,label_52,label_53,label_54,label_55,label_56,label_57,label_58,label_59,label_60,label_61,label_62,label_63,label_64,label_65,label_66,label_67,label_68,label_69,label_70,label_71,label_72,label_73,label_74,label_75,label_76,label_77,label_78,label_79,label_80,label_81,label_82,label_83,label_84,label_85,label_86,label_87,label_88,label_89,label_90,label_91,label_92,label_93,label_94,label_95,label_96,label_97,label_98,label_99,label_100,label_101
0,pretrain,0.9534632034632035,0.04653679653679654,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.8,0.9444444444444444,1.0,0.7647058823529411,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.972972972972973,1.0,1.0,0.8333333333333334,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.75,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.9444444444444444,0.9090909090909091,0.9666666666666667,1.0,1.0,0.8571428571428571,1.0,1.0,0.8947368421052632,0.8461538461538461,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.8,0.9,0.9,0.8888888888888888,0.7777777777777778,0.9,1.0,1.0,0.8888888888888888,1.0
1,inctrain,0.008658008658008658,0.9913419913419913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Coteaching,0.27705627705627706,0.722943722943723,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.3076923076923077,0.25,0.0,0.14285714285714285,0.0,0.0,0.36363636363636365,0.0,0.3333333333333333,0.0,0.0,0.5,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.75,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.1,0.0,0.4,0.3333333333333333,0.0,0.0,0.5555555555555556,0.13513513513513514,0.0,0.42857142857142855,0.16666666666666666,0.0,0.5,0.25,0.16666666666666666,0.0,0.5625,0.0,0.0,0.5,0.0,0.0,0.2,0.0,0.0,0.3333333333333333,0.3333333333333333,0.2,0.3333333333333333,0.391304347826087,0.034482758620689655,0.5555555555555556,0.2727272727272727,0.6666666666666666,0.7647058823529411,0.0,0.42857142857142855,0.72,0.07692307692307693,0.0,0.07692307692307693,0.1111111111111111,1.0,0.0,0.7222222222222222,0.5,0.3,0.08333333333333333,0.6666666666666666,0.0,0.4,0.25,0.2222222222222222,0.0,0.4,0.25,0.0,0.0,0.0
3,Coteachingplus,0.12121212121212122,0.8787878787878788,0.14285714285714285,0.0,0.0,0.16666666666666666,0.0,0.5,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.25,0.2,0.07692307692307693,0.125,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.23529411764705882,0.0,0.0,0.3,0.3333333333333333,0.2,0.0,0.2222222222222222,0.08108108108108109,0.0,0.2857142857142857,0.0,0.0,0.4,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.34782608695652173,0.2413793103448276,0.16666666666666666,0.18181818181818182,0.0,0.47058823529411764,0.0,0.21428571428571427,0.44,0.38461538461538464,0.0,0.0,0.0,1.0,0.0,0.0,0.3076923076923077,0.2,0.08333333333333333,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0
4,Decoupling,0.1406926406926407,0.8593073593073592,0.2857142857142857,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.125,0.21428571428571427,0.25,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.2,0.0,0.0,1.0,0.16666666666666666,0.3125,0.0,0.0,0.1,0.1111111111111111,0.0,0.35294117647058826,0.1,0.0,0.1,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.45454545454545453,0.0,0.0,0.14285714285714285,0.35,0.125,0.25,0.0,0.3125,0.0,0.25,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.13333333333333333,0.13043478260869565,0.3103448275862069,0.16666666666666666,0.18181818181818182,0.03333333333333333,0.23529411764705882,0.0,0.2857142857142857,0.0,0.15384615384615385,0.10526315789473684,0.15384615384615385,0.1111111111111111,0.75,0.125,0.16666666666666666,0.4230769230769231,0.2,0.0,0.2222222222222222,0.0,0.15,0.0,0.1111111111111111,0.2222222222222222,0.3,0.0,0.0,0.0,0.0
5,DISC,0.9231601731601732,0.07683982683982682,0.8571428571428571,1.0,0.75,0.6666666666666666,0.75,1.0,1.0,0.6666666666666666,1.0,0.875,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.5714285714285714,0.8,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.75,1.0,1.0,0.4,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.9444444444444444,1.0,0.8823529411764706,0.9,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.8888888888888888,1.0,0.9333333333333333,1.0,0.9310344827586207,0.9444444444444444,0.9090909090909091,1.0,1.0,1.0,1.0,0.96,1.0,0.8947368421052632,0.7692307692307693,0.8888888888888888,1.0,1.0,1.0,0.9615384615384616,0.9,0.8333333333333334,1.0,1.0,0.8,0.7,0.8888888888888888,0.7777777777777778,0.9,1.0,1.0,0.3333333333333333,1.0
6,ELR,0.9112554112554112,0.08874458874458879,0.8571428571428571,1.0,0.75,0.8333333333333334,1.0,1.0,0.7777777777777778,1.0,1.0,0.75,0.9285714285714286,1.0,1.0,1.0,0.8,0.9230769230769231,0.75,0.8,1.0,0.8,0.75,1.0,1.0,0.6666666666666666,0.6666666666666666,0.75,1.0,1.0,1.0,1.0,0.8,0.6666666666666666,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,0.9,0.9444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.8918918918918919,1.0,0.8571428571428571,0.8333333333333334,0.8571428571428571,1.0,0.875,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.8,1.0,0.8620689655172413,0.9444444444444444,0.9090909090909091,0.9666666666666667,1.0,1.0,0.8571428571428571,0.96,0.8461538461538461,0.9473684210526315,0.6923076923076923,1.0,1.0,0.5,1.0,1.0,0.8,0.8333333333333334,0.7777777777777778,1.0,0.9,0.9,0.6666666666666666,0.6666666666666666,0.9,1.0,0.75,0.5555555555555556,1.0
7,GJS,0.9134199134199135,0.08658008658008653,0.7142857142857143,1.0,0.5,1.0,0.75,1.0,1.0,0.6666666666666666,1.0,0.625,1.0,1.0,1.0,1.0,1.0,0.9230769230769231,1.0,1.0,0.7142857142857143,0.6,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8333333333333334,1.0,1.0,0.6666666666666666,0.6,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,0.9,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.7777777777777778,1.0,0.8666666666666667,1.0,0.8620689655172413,0.8888888888888888,0.9090909090909091,0.9666666666666667,1.0,1.0,1.0,0.96,0.8461538461538461,0.7894736842105263,0.9230769230769231,0.6666666666666666,1.0,1.0,0.9444444444444444,0.9615384615384616,0.7,0.8333333333333334,0.7777777777777778,1.0,0.85,1.0,0.6666666666666666,1.0,0.2,1.0,1.0,0.7777777777777778,1.0
8,JoCoR,0.05303030303030303,0.946969696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.14285714285714285,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.0,0.1111111111111111,0.0,0.45454545454545453,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.08695652173913043,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.36,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.2,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,NegativeLearning,0.2813852813852814,0.7186147186147186,0.14285714285714285,0.0,0.0,0.16666666666666666,0.25,0.0,0.0,0.0,0.4,0.125,0.14285714285714285,0.25,0.25,0.25,0.6,0.46153846153846156,0.25,0.0,0.2857142857142857,0.0,0.375,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.2,0.0,0.3333333333333333,1.0,0.5,0.3125,0.0,0.0,0.0,0.5,0.0,0.29411764705882354,0.1,0.0,0.25,0.3333333333333333,0.4,0.6,0.7777777777777778,0.2972972972972973,0.5454545454545454,0.5714285714285714,0.3333333333333333,0.0,0.65,0.125,0.4166666666666667,0.4,0.625,0.0,0.25,1.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.30434782608695654,0.3103448275862069,0.3888888888888889,0.5454545454545454,0.1,0.29411764705882354,0.0,0.21428571428571427,0.48,0.3076923076923077,0.10526315789473684,0.07692307692307693,0.2222222222222222,1.0,0.25,0.3888888888888889,0.5769230769230769,0.3,0.08333333333333333,0.1111111111111111,0.0,0.25,0.05,0.2222222222222222,0.1111111111111111,0.4,0.25,0.0,0.2222222222222222,0.6666666666666666
